"source_sheet","source_cell","records_with_same_source_cell","duplicate_flag"
"COMPARATIVO","AA10",1,FALSE
"COMPARATIVO","AA11",1,FALSE
"COMPARATIVO","AA12",1,FALSE
"COMPARATIVO","AA13",1,FALSE
"COMPARATIVO","AA3",1,FALSE
"COMPARATIVO","AA4",1,FALSE
"COMPARATIVO","AA5",1,FALSE
"COMPARATIVO","AA6",1,FALSE
"COMPARATIVO","AA7",1,FALSE
"COMPARATIVO","AA8",1,FALSE
"COMPARATIVO","AA9",1,FALSE
"COMPARATIVO","AB10",1,FALSE
"COMPARATIVO","AB11",1,FALSE
"COMPARATIVO","AB12",1,FALSE
"COMPARATIVO","AB13",1,FALSE
"COMPARATIVO","AB3",1,FALSE
"COMPARATIVO","AB4",1,FALSE
"COMPARATIVO","AB5",1,FALSE
"COMPARATIVO","AB6",1,FALSE
"COMPARATIVO","AB7",1,FALSE
"COMPARATIVO","AB8",1,FALSE
"COMPARATIVO","AB9",1,FALSE
"COMPARATIVO","AC10",1,FALSE
"COMPARATIVO","AC11",1,FALSE
"COMPARATIVO","AC12",1,FALSE
"COMPARATIVO","AC13",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC14",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC15",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC16",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC17",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC18",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC19",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC20",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC21",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC22",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC23",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC24",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC25",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC26",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC27",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC28",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC29",1,FALSE
"COMPARATIVO","AC3",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC33",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC34",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC35",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC36",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC37",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC38",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC39",1,FALSE
"COMPARATIVO","AC4",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC40",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC41",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AC43",1,FALSE
"COMPARATIVO","AC5",1,FALSE
"COMPARATIVO","AC6",1,FALSE
"COMPARATIVO","AC7",1,FALSE
"COMPARATIVO","AC8",1,FALSE
"COMPARATIVO","AC9",1,FALSE
"COMPARATIVO","AD10",1,FALSE
"COMPARATIVO","AD11",1,FALSE
"COMPARATIVO","AD12",1,FALSE
"COMPARATIVO","AD13",1,FALSE
"COMPARATIVO","AD3",1,FALSE
"COMPARATIVO","AD4",1,FALSE
"COMPARATIVO","AD5",1,FALSE
"COMPARATIVO","AD6",1,FALSE
"COMPARATIVO","AD7",1,FALSE
"COMPARATIVO","AD8",1,FALSE
"COMPARATIVO","AD9",1,FALSE
"COMPARATIVO","AE10",1,FALSE
"COMPARATIVO","AE11",1,FALSE
"COMPARATIVO","AE12",1,FALSE
"COMPARATIVO","AE13",1,FALSE
"COMPARATIVO","AE3",1,FALSE
"COMPARATIVO","AE4",1,FALSE
"COMPARATIVO","AE5",1,FALSE
"COMPARATIVO","AE6",1,FALSE
"COMPARATIVO","AE7",1,FALSE
"COMPARATIVO","AE8",1,FALSE
"COMPARATIVO","AE9",1,FALSE
"COMPARATIVO","AF10",1,FALSE
"COMPARATIVO","AF11",1,FALSE
"COMPARATIVO","AF12",1,FALSE
"COMPARATIVO","AF13",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF14",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF15",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF16",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF17",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF18",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF19",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF20",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF21",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF22",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF23",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF24",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF25",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF26",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF27",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF28",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF29",1,FALSE
"COMPARATIVO","AF3",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF33",1,FALSE
"AVALIA<U+00C7><U+00C3>O ECON<U+00D4>MICA","AF34",1,FALSE
