"data_domain","metric","unit","assessment","note"
"comparativo","circularidade",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"comparativo","concentracao_media","%","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"comparativo","concentricidade",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"comparativo","indice_refracao","sem_unidade","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"comparativo","ph_5_porcento","sem_unidade","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"comparativo","potencia","kW","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"comparativo","solidos_suspensos","sem_unidade","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"comparativo","tensao_superficial","sem_unidade","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"comparativo","vida_ferramenta_volume_removido","cm3","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","CUSTO TOTAL ANUAL  (R$)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Capacidade do sistema  (litros)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Concentra<U+00E7><U+00E3>o  (%)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Consumo anual pela troca (litros)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo anual da troca  (R$)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo anual do fluido (R$)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo da ferramenta  (R$)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo da ferramenta para o lote  (R$)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo da hora de opera<U+00E7><U+00E3>o (R$)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo da reposi<U+00E7><U+00E3>o anual  (R$)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo da reposi<U+00E7><U+00E3>o mensal  (R$)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo do enchimento",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo total anual opera<U+00E7><U+00E3>o/ferramenta (R$)***",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Custo total da opera<U+00E7><U+00E3>o  (R$)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Enchimento do sistema  (litros)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Fator de corre<U+00E7><U+00E3>o",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Lead Time da opera<U+00E7><U+00E3>o  (minutos)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","N<U+00FA>mero de trocas por ano",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Pre<U+00E7>o do produto  (R$/L)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Reposi<U+00E7><U+00E3>o anual   (litros)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Reposi<U+00E7><U+00E3>o mensal (litros)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Tamanho do lote (p<U+00E7>s/m<U+00EA>s)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Vida <U+00FA>til do produto (dias)",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"economico","Vida da ferramenta**",,"NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","ACIDEZ","mg KOH/g","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","ALCALINIDADE","mg KOH/g","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","AM<U+00D4>NIA","ppm","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","CLORETOS","ppm","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","CONCENTRA<U+00C7><U+00C3>O M<U+00C9>DIA","%","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","CONDUTIVIDADE","<U+03BC>S/cm","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","CORROS<U+00C3>O NO FOFO","-","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","DUREZA TOTAL","ppm","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","F<U+00D3>SFORO","ppm","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","S<U+00D3>LIDOS TOTAIS","ppm","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","TURBIDEZ","NTU","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"emulsao","pH","-","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"usinabilidade","potencia_corte","kW","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
"usinabilidade","rugosidade_superficial","<U+03BC>m","NOT_ASSESSED_TOLERANCE_UNDEFINED","config/tolerancias.yml não define limites numéricos; nenhum valor foi removido ou corrigido."
