"source_file","sheet_name","column_index","excel_column","provisional_header","apparent_type","rows_non_blank","rows_blank","distinct_non_blank","example_values"
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",1,"A",,"all_blank",0,19,0,""
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",2,"B","FLUIDO A","mixed_or_text",12,7,12,"TABELA DE COMPOSI<U+00C7><U+00C3>O DOS FLUIDOS TESTADOS | FLUIDO A | SEMI-SINT<U+00C9>TICO"
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",3,"C","FLUIDO B","mixed_or_text",6,13,6,"FLUIDO B | SEMI-SINT<U+00C9>TICO | Aditivo EP (fosforo)"
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",4,"D","FLUIDO C","mixed_or_text",6,13,6,"FLUIDO C | SEMI-SINT<U+00C9>TICO | Aditivo EP (Fosforo e zinco)"
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",5,"E","FLUIDO D","mixed_or_text",5,14,5,"FLUIDO D | SEMI-SINT<U+00C9>TICO | Tensoativos"
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",6,"F","FLUIDO E","mixed_or_text",7,12,7,"FLUIDO E | VEGETAL | Aditivo EP (Ditiofosfato de zinco)"
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",7,"G","FLUIDO F","mixed_or_text",5,14,5,"FLUIDO F | SEMI-SINT<U+00C9>TICO | ADITIVO EP"
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",8,"H","FLUIDO G","mixed_or_text",17,2,17,"FLUIDO G | SINT<U+00C9>TICO | COMPONENTES"
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",9,"I","FLUIDO H","mixed_or_text",5,14,5,"FLUIDO H | SEMI-SINT<U+00C9>TICO | Tensoativos"
"data/raw/ensaio_bancada_alunos (2).xlsx","SPEC FLUIDOS",10,"J","FLUIDO J","mixed_or_text",8,11,8,"FLUIDO J | SEMI-SINT<U+00C9>TICO | COMPONENTES"
